summoner,matchId,champion,gameTime,win,kills,deaths,assists,KDA_ratio,gold_earned,CS_total,CS_per_min,G_per_min,XP_per_min,Vision_total,Vision_per_min,Damage_to_Champions,Damage_per_min,Damage_Taken,Damage_per_Gold,Kill_Participation_%,CS_0_15,Gold_0_15,XP_0_15,CS_per_min_0_15,Gold_per_min_0_15,XP_per_min_0_15,LaneDiff_CS_0_15,LaneDiff_Gold_0_15,LaneDiff_XP_0_15,LaneDiff_CS_End,LaneDiff_Gold_End,LaneDiff_XP_End
JUGKlNG#kr,KR_7815407151,Rakan,22:09,False,0,7,3,0.43,5083,19,0.86,229.5,252.6,56,2.53,7437,335.8,18660,1.463,50.0,12,2959,3226,0.8,197.3,215.1,-2,-304,209,5,-499,-1382
JUGKlNG#kr,KR_7815356328,Leona,19:41,False,0,7,6,0.86,4914,18,0.91,249.7,266.9,59,3.0,5410,274.9,14162,1.101,75.0,12,3394,3688,0.8,226.3,245.9,-9,-837,-665,-4,-1920,-1794
JUGKlNG#kr,KR_7815277322,Leona,23:46,True,3,6,16,3.17,8064,44,1.85,339.3,375.1,81,3.41,11611,488.5,21523,1.44,51.4,25,4551,4205,1.67,303.4,280.3,2,1054,760,19,1508,1064
JUGKlNG#kr,KR_7815196919,Leona,22:56,False,0,6,8,1.33,5776,31,1.35,251.9,288.7,56,2.44,7002,305.3,20451,1.212,61.5,20,3309,4410,1.33,220.6,294.0,3,-222,670,10,-1016,-1448
JUGKlNG#kr,KR_7815146337,Naafiri,19:50,False,6,2,2,4.0,8950,138,6.96,451.3,446.5,20,1.01,12890,649.9,20942,1.44,100.0,106,5912,6111,7.07,394.1,407.4,-1,612,161,-12,411,-668
JUGKlNG#kr,KR_7814375881,Aurora,39:14,False,9,10,14,2.3,17484,247,6.3,445.6,538.6,52,1.33,50768,1294.0,46714,2.904,67.6,118,5251,7339,7.87,350.1,489.3,1,-185,-746,11,2600,1301
JUGKlNG#kr,KR_7814317801,Alistar,31:36,False,1,8,28,3.62,8535,18,0.57,270.1,350.7,117,3.7,15100,477.8,41879,1.769,82.9,10,3483,3447,0.67,232.2,229.8,1,446,319,-2,-1231,-1865
JUGKlNG#kr,KR_7814269792,Leona,21:52,True,6,6,18,4.0,8535,15,0.69,390.3,459.8,55,2.52,9856,450.7,21555,1.155,58.5,12,4713,4226,0.8,314.2,281.7,-6,1773,408,-5,2676,2613
그어살#KR1,KR_7392289112,Graves,19:04,True,4,1,1,5.0,8704,175,9.18,456.5,538.7,22,1.15,5054,265.1,13102,0.581,38.5,124,5204,6933,8.27,346.9,462.2,36,549,2027,71,2526,4330
그어살#KR1,KR_7297774265,Akali,27:29,False,3,7,4,1.0,9011,159,5.79,327.9,442.0,12,0.44,26406,960.8,33822,2.93,50.0,116,4439,6667,7.73,295.9,444.5,9,384,206,-62,-2569,-4405
그어살#KR1,KR_7297579658,Poppy,22:15,True,8,6,8,2.67,8562,23,1.03,384.8,369.1,63,2.83,15815,710.8,21071,1.847,53.3,18,5188,4364,1.2,345.9,290.9,4,1207,362,2,2006,1464
그어살#KR1,KR_7297558055,Poppy,18:32,True,6,1,11,17.0,7080,13,0.7,382.0,309.3,65,3.51,15438,833.0,12666,2.181,70.8,10,4814,4291,0.67,320.9,286.1,-6,1841,921,-5,3005,1150
허거덩#0303,KR_7858166916,Akali,35:32,False,8,6,5,2.17,16142,304,8.56,454.3,535.5,26,0.73,34274,964.6,37549,2.123,54.2,143,5834,7773,9.53,388.9,518.2,13,745,308,11,-656,-574
허거덩#0303,KR_7825557119,JarvanIV,31:27,True,8,1,20,28.0,17362,237,7.54,552.1,623.9,47,1.49,39635,1260.3,42936,2.283,84.8,100,4883,6134,6.67,325.5,408.9,-6,255,310,53,4291,6263
허거덩#0303,KR_7825448916,Viego,22:39,True,10,4,7,4.25,12000,200,8.83,529.8,638.2,25,1.1,22903,1011.2,27455,1.909,50.0,117,5946,7129,7.8,396.4,475.3,31,1906,897,86,4906,5434
허거덩#0303,KR_7825373136,Ryze,25:16,True,9,1,9,18.0,13911,253,10.01,550.6,695.9,31,1.23,28170,1114.9,18545,2.025,51.4,148,6118,8084,9.87,407.9,538.9,32,954,1562,43,3706,5864
